id,product_name,ingredient_name,min_intake_value,max_intake_value,display_unit,created_at,updated_at
124,카제인 가수분해물,발릴프로릴프롤린 및 이소류실프로릴프롤린,2,4,mg,2026-01-15 17:00,2026-01-15 17:00
125,돌외잎주정추출분말,다물린 A,450,450,mg,2026-01-15 17:00,2026-01-15 17:00
126,Enterococcus faecalis 가열처리건조분말,엔테로코커스 페칼리스 가열처리건조분말,1000,1000,mg,2026-01-15 17:00,2026-01-15 17:00
127,"홍삼, 사상자, 산수유 복합추출물","Rb1, Rg3, 토리린, 로가닌",3,3,g,2026-01-15 17:00,2026-01-15 17:00
128,구기자추출물,베타인,1425,1425,mg,2026-01-15 17:00,2026-01-15 17:00
129,발효식초석류복합물,"초산, 엘라직산",22,22,ml,2026-01-15 17:00,2026-01-15 17:00
130,Lactobacillus gasseri BNR17,유산균,10000000000,10000000000,CFU,2026-01-15 17:00,2026-01-15 17:00
131,나토균배양분말,피브린용해효소활성,100,100,mg,2026-01-15 17:00,2026-01-15 17:00
132,마리골드 추출물,루테인 에스테르,19,20,mg,2026-01-15 17:00,2026-01-15 17:00
133,콩발효추출물,"α-글루코시다아제 활성 억제능, 트리스(2-아미노-2--1,3-프로판디올)",900,900,mg,2026-01-15 17:00,2026-01-15 17:00
134,CMO 함유 FAC,CMO(세틸 미리스톨리에이트),893,893,mg,2026-01-15 17:00,2026-01-15 17:00
135,UREX 프로바이오틱스,프로바이오틱스 수,1000000000,1000000000,CFU,2026-01-15 17:00,2026-01-15 17:00
136,도라지추출물,플라티코딘 D,3,3,g,2026-01-15 17:00,2026-01-15 17:00
137,무화과페이스트,식이섬유,300,300,g,2026-01-15 17:00,2026-01-15 17:00
138,적포도발효농축액,"총 폴리페놀, 카테킨",24,24,ml,2026-01-15 17:00,2026-01-15 17:00
139,액상 다래추출물,"퀸산, 구연산",2,2.5,g,2026-01-15 17:00,2026-01-15 17:00
140,인삼가수분해 농축액,진세노사이드 Rg1,960,960,mg,2026-01-15 17:00,2026-01-15 17:00
141,그린커피빈추출물,클로로겐산,400,400,mg,2026-01-15 17:00,2026-01-15 17:00
142,식물스타놀 에스테르,식물스타놀 에스테르,2.5,3.4,g,2026-01-15 17:00,2026-01-15 17:00
143,민들레 등 추출복합물,"루테오린, 카테킨, 피시온",750,750,mg,2026-01-15 17:00,2026-01-15 17:00
144,MS-10 엉겅퀴등복합추출물,"엉겅퀴 : 클로로겐산, 타임 : 로즈마린산",300,300,mg,2026-01-15 17:00,2026-01-15 17:00
