epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,401.285,0.29414,0.28226,0.93014,0.73364,0.72881,0.7047,0.61568,0.79365,1.10557,1.76313,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
66,407.295,0.32699,0.33504,0.96883,0.66839,0.76671,0.68787,0.60696,0.83036,1.10277,1.86133,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286
67,413.058,0.27926,0.29414,0.92622,0.65089,0.78165,0.6926,0.61696,0.81451,1.13954,1.85351,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782
68,418.998,0.30735,0.32324,0.94831,0.63897,0.7765,0.70008,0.60823,0.77662,1.04992,1.66156,0.00168384,0.000561279,0.00168384,0.000561279,0.00168384,0.000561279,0.00168384,0.000561279
69,424.769,0.27247,0.27286,0.92893,0.68849,0.73096,0.70442,0.61191,0.77593,1.08865,1.69981,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776
70,430.684,0.29026,0.30405,0.94054,0.63162,0.74842,0.67316,0.59651,0.73347,1.21359,1.70044,0.00158482,0.000528272,0.00158482,0.000528272,0.00158482,0.000528272,0.00158482,0.000528272
71,436.398,0.27803,0.3007,0.92963,0.64349,0.78234,0.67967,0.59878,0.73614,1.19597,1.71733,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
72,442.465,0.26615,0.26113,0.91187,0.66283,0.72174,0.69635,0.60372,0.76253,1.18699,1.7061,0.0014858,0.000495266,0.0014858,0.000495266,0.0014858,0.000495266,0.0014858,0.000495266
73,448.239,0.25475,0.26698,0.90835,0.68507,0.77375,0.71411,0.62121,0.78391,1.23635,1.81749,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762
74,454.159,0.26576,0.25153,0.92598,0.67518,0.78747,0.72213,0.6338,0.80341,1.17979,1.74451,0.00138678,0.000462259,0.00138678,0.000462259,0.00138678,0.000462259,0.00138678,0.000462259
75,459.898,0.26195,0.25501,0.91284,0.75853,0.72686,0.72219,0.63392,0.80714,1.11926,1.80576,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756
76,465.882,0.2533,0.2629,0.89999,0.7063,0.74662,0.73229,0.6465,0.80865,1.21914,1.80915,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253
77,471.63,0.24062,0.25132,0.89965,0.65782,0.82371,0.72626,0.64148,0.81374,1.19458,1.77266,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749
78,477.59,0.28255,0.28757,0.95386,0.72962,0.72989,0.71542,0.62923,0.80702,1.15608,1.74796,0.00118874,0.000396246,0.00118874,0.000396246,0.00118874,0.000396246,0.00118874,0.000396246
79,483.391,0.24676,0.25087,0.90586,0.74415,0.72748,0.71111,0.62251,0.80437,1.13191,1.74878,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743
80,489.343,0.25826,0.26156,0.91103,0.76658,0.74114,0.71549,0.62827,0.82717,1.09989,1.80555,0.00108972,0.000363239,0.00108972,0.000363239,0.00108972,0.000363239,0.00108972,0.000363239
81,495.115,0.29602,0.30435,0.95799,0.76342,0.74877,0.73328,0.651,0.81381,1.08163,1.80417,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
82,501.071,0.25693,0.25591,0.9274,0.76345,0.72635,0.73538,0.646,0.82796,1.07765,1.82355,0.000990698,0.000330233,0.000990698,0.000330233,0.000990698,0.000330233,0.000990698,0.000330233
83,506.829,0.23792,0.24895,0.90378,0.75437,0.73986,0.7225,0.63939,0.82565,1.15797,1.82569,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729
84,512.743,0.26204,0.2603,0.91762,0.75359,0.69687,0.71938,0.64363,0.80617,1.20773,1.80879,0.000891678,0.000297226,0.000891678,0.000297226,0.000891678,0.000297226,0.000891678,0.000297226
85,518.454,0.22372,0.21982,0.8936,0.73221,0.7285,0.71671,0.63912,0.79552,1.15995,1.8304,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723
86,524.387,0.26091,0.24719,0.92012,0.71904,0.73311,0.72152,0.6427,0.77853,1.10261,1.78416,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422
87,530.108,0.24276,0.25369,0.92455,0.73585,0.71952,0.72474,0.63787,0.7659,1.16244,1.80075,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716
88,536.023,0.21582,0.21008,0.89158,0.74111,0.72635,0.73042,0.64467,0.70743,1.21867,1.6986,0.000693639,0.000231213,0.000693639,0.000231213,0.000693639,0.000231213,0.000693639,0.000231213
89,541.754,0.26668,0.25247,0.92519,0.74541,0.72635,0.72268,0.63567,0.72684,1.22335,1.72507,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471
90,547.728,0.23159,0.22022,0.90392,0.74269,0.72775,0.71822,0.63516,0.75684,1.20411,1.7705,0.000594619,0.000198206,0.000594619,0.000198206,0.000594619,0.000198206,0.000594619,0.000198206
91,554.938,0.17843,0.17749,0.8307,0.71938,0.73311,0.71772,0.63486,0.75331,1.18936,1.74117,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
92,560.913,0.18075,0.18025,0.84513,0.71858,0.71069,0.72683,0.64371,0.75822,1.12911,1.72251,0.000495599,0.0001652,0.000495599,0.0001652,0.000495599,0.0001652,0.000495599,0.0001652
93,566.638,0.20017,0.18968,0.86368,0.76356,0.70209,0.73104,0.64251,0.78015,1.10333,1.77013,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696
94,572.544,0.18089,0.19307,0.86607,0.75297,0.71959,0.72498,0.634,0.77313,1.09879,1.76613,0.000396579,0.000132193,0.000396579,0.000132193,0.000396579,0.000132193,0.000396579,0.000132193
95,578.311,0.16692,0.15522,0.84452,0.74856,0.72635,0.72202,0.63118,0.82649,1.08168,1.87659,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569
96,584.255,0.16096,0.14981,0.83495,0.75581,0.71563,0.71365,0.61808,0.84353,1.10415,1.90635,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05
97,589.969,0.1722,0.18715,0.85182,0.75889,0.70362,0.71379,0.61768,0.86397,1.12808,1.93697,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05
98,595.9,0.16052,0.17839,0.85215,0.73574,0.71038,0.71285,0.618,0.83637,1.15764,1.8675,0.00019854,6.61799e-05,0.00019854,6.61799e-05,0.00019854,6.61799e-05,0.00019854,6.61799e-05
99,601.628,0.17219,0.14731,0.85756,0.73239,0.71038,0.71301,0.62309,0.81953,1.15192,1.84932,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05
100,607.52,0.16246,0.15014,0.83973,0.71196,0.71359,0.71454,0.62419,0.79328,1.17223,1.81271,9.95199e-05,3.31733e-05,9.95199e-05,3.31733e-05,9.95199e-05,3.31733e-05,9.95199e-05,3.31733e-05
